Time,Temperature,Humidity,Wind,Pressure,Light,Cloud,Altitude,Battery
0,13.60,63.70,1.40,1010.00,12000,74,101.80,100.08
30,13.40,89.80,1.30,1010.80,12000,74,102.02,99.12
60,13.50,67.90,2.10,1010.50,12000,74,103.74,98.01
90,14.70,72.70,1.60,1010.80,12000,74,103.73,96.61
120,13.80,66.50,1.20,1010.90,12000,74,105.35,95.95
150,14.10,66.90,1.30,1010.50,12000,74,106.79,94.83
180,14.50,72.90,2.20,1009.10,12000,74,106.92,93.00
210,14.20,83.60,1.90,1008.80,12000,74,107.82,92.02
240,14.40,83.90,2.20,1009.00,12000,74,108.96,90.64
270,14.50,60.30,1.70,1009.10,12000,74,108.28,89.46
300,15.10,52.40,2.70,1008.30,12000,74,110.30,88.96
330,15.50,87.20,2.70,1010.10,12000,74,109.60,87.10
360,14.90,65.20,1.60,1009.30,12000,74,110.70,85.77
390,14.70,77.20,1.80,1008.20,12000,74,111.50,85.14
420,15.60,63.40,1.70,1008.60,12000,74,111.17,83.93
450,15.50,57.60,2.40,1009.10,12000,74,111.19,82.47
480,14.80,95.50,2.50,1007.20,12000,74,110.41,81.68
510,15.60,62.80,2.90,1007.80,12000,74,110.40,80.53
540,15.60,57.50,3.10,1007.80,12000,74,110.45,78.48
570,15.40,85.90,3.50,1007.60,12000,74,109.62,77.48
600,15.50,63.20,3.00,1008.20,12000,74,110.20,76.98
630,15.60,79.30,2.00,1008.60,12000,74,109.29,74.95
660,14.70,82.20,3.30,1007.80,12000,74,109.57,74.59
690,14.80,63.10,2.30,1007.50,12000,74,107.91,72.58
720,14.00,66.40,3.80,1007.70,12000,74,107.37,71.24
750,14.70,77.70,3.60,1008.30,12000,74,107.19,70.33
780,14.20,61.30,4.20,1007.40,12000,74,105.82,69.39
810,14.80,55.50,3.90,1006.50,12000,74,105.64,68.09
840,13.90,61.70,2.20,1007.80,12000,74,104.80,66.91
870,13.60,60.60,3.20,1007.80,12000,74,102.92,65.44
900,13.10,50.50,2.90,1007.30,12000,74,103.34,64.90
930,14.40,47.00,2.90,1008.40,12000,74,101.65,63.79
960,13.20,43.50,2.90,1006.60,12000,74,99.93,61.69
990,13.90,55.10,3.40,1008.10,12000,74,99.01,60.58
1020,12.70,76.10,3.60,1007.00,12000,74,98.82,59.49
1050,13.70,63.90,2.30,1007.50,12000,74,96.85,58.68
1080,12.60,60.30,3.10,1008.60,12000,74,96.04,57.76
1110,12.70,47.70,1.70,1008.50,12000,74,96.54,56.57
1140,12.90,63.80,2.80,1007.70,12000,74,94.60,55.31
1170,13.20,51.20,2.90,1008.70,12000,74,93.20,53.52
1200,12.60,53.10,2.10,1008.50,12000,74,92.94,52.53
1230,12.90,58.40,2.80,1006.80,12000,74,93.26,50.88
1260,12.20,62.40,2.10,1007.90,12000,74,91.84,49.98
1290,12.70,60.00,2.20,1007.80,12000,74,92.38,48.82
1320,11.70,45.60,2.80,1008.60,12000,74,90.70,47.47
1350,11.80,60.10,2.50,1008.20,12000,74,91.16,46.80
1380,11.60,53.00,2.60,1008.10,12000,74,90.96,45.19
1410,12.40,60.00,1.50,1008.70,12000,74,90.86,44.18
1440,12.60,74.10,2.40,1009.40,12000,74,90.92,43.21
1470,12.80,83.40,0.90,1008.40,12000,74,91.03,41.23
1500,12.00,62.10,1.10,1008.20,12000,74,92.31,40.17
1530,12.00,85.60,2.20,1009.60,12000,74,92.13,38.96
1560,12.80,75.90,1.30,1009.30,12000,74,92.77,38.43
1590,12.10,53.10,1.90,1009.00,12000,74,92.54,36.73
1620,13.00,69.10,1.00,1009.40,12000,74,93.39,35.98
1650,13.10,55.30,1.20,1010.60,12000,74,93.20,34.45
1680,13.00,77.50,1.00,1008.70,12000,74,94.81,33.03
1710,12.90,64.10,1.90,1009.50,12000,74,96.31,32.31
1740,13.70,74.60,1.20,1010.40,12000,74,96.05,31.17
1770,13.10,66.10,1.10,1010.80,12000,74,96.62,29.88
